username,email,full_name,time_to_submit_ms,label
alpha51,alpha51@gmail.com,User 51,1608,0
wissal52,wissal52@tempmail.com,User 52,2143,1
test53,test53@hotmail.com,User 53,716,0
user54,user54@tempmail.com,User 54,2653,1
bot55,bot55@yahoo.com,User 55,2272,0
gamma56,gamma56@example.com,User 56,383,1
student57,student57@tempmail.com,User 57,2853,1
user58,user58@gmail.com,User 58,1645,0
normal59,normal59@hotmail.com,User 59,2433,0
spammer60,spammer60@outlook.com,User 60,556,0
gamma61,gamma61@example.com,User 61,1696,0
spammer62,spammer62@outlook.com,User 62,1573,0
bot63,bot63@outlook.com,User 63,1795,0
user64,user64@yahoo.com,User 64,1553,0
wissal65,wissal65@gmail.com,User 65,2046,0
student66,student66@outlook.com,User 66,2259,0
user67,user67@hotmail.com,User 67,903,0
spammer68,spammer68@gmail.com,User 68,2999,0
spammer69,spammer69@fake.org,User 69,813,1
normal70,normal70@yahoo.com,User 70,116,1
gamma71,gamma71@hotmail.com,User 71,2176,0
bot72,bot72@spam.com,User 72,1163,1
student73,student73@tempmail.com,User 73,881,1
user74,user74@hotmail.com,User 74,2390,0
student75,student75@hotmail.com,User 75,1344,0
test76,test76@outlook.com,User 76,1527,0
gamma77,gamma77@hotmail.com,User 77,2375,0
beta78,beta78@example.com,User 78,240,1
wissal79,wissal79@yahoo.com,User 79,1818,0
normal80,normal80@gmail.com,User 80,447,0
wissal81,wissal81@outlook.com,User 81,2730,0
beta82,beta82@spam.com,User 82,2819,1
spammer83,spammer83@example.com,User 83,1975,0
wissal84,wissal84@hotmail.com,User 84,598,0
normal85,normal85@example.com,User 85,2014,0
gamma86,gamma86@example.com,User 86,2059,0
test87,test87@outlook.com,User 87,1935,0
test88,test88@tempmail.com,User 88,256,1
gamma89,gamma89@gmail.com,User 89,1691,0
beta90,beta90@example.com,User 90,2845,0
wissal91,wissal91@example.com,User 91,2206,0
spammer92,spammer92@fake.org,User 92,1934,1
alpha93,alpha93@example.com,User 93,2912,0
test94,test94@fake.org,User 94,2132,1
user95,user95@yahoo.com,User 95,1732,0
normal96,normal96@outlook.com,User 96,207,1
student97,student97@outlook.com,User 97,811,0
alpha98,alpha98@yahoo.com,User 98,1648,0
test99,test99@fake.org,User 99,1565,1
alpha100,alpha100@fake.org,User 100,680,1
beta101,beta101@yahoo.com,User 101,523,0
beta102,beta102@spam.com,User 102,2789,1
spammer103,spammer103@spam.com,User 103,2980,1
bot104,bot104@outlook.com,User 104,990,0
gamma105,gamma105@spam.com,User 105,1975,1
student106,student106@outlook.com,User 106,1638,0
normal107,normal107@fraud.net,User 107,2324,1
normal108,normal108@gmail.com,User 108,2151,0
spammer109,spammer109@example.com,User 109,1605,0
beta110,beta110@outlook.com,User 110,1567,0
gamma111,gamma111@yahoo.com,User 111,2732,0
alpha112,alpha112@example.com,User 112,285,1
alpha113,alpha113@fraud.net,User 113,1638,1
beta114,beta114@outlook.com,User 114,2219,0
student115,student115@hotmail.com,User 115,1188,0
test116,test116@outlook.com,User 116,2206,0
beta117,beta117@example.com,User 117,1166,0
beta118,beta118@fraud.net,User 118,1494,1
bot119,bot119@hotmail.com,User 119,2560,0
beta120,beta120@outlook.com,User 120,1277,0
user121,user121@hotmail.com,User 121,2739,0
normal122,normal122@tempmail.com,User 122,2849,1
student123,student123@gmail.com,User 123,2031,0
alpha124,alpha124@hotmail.com,User 124,2376,0
test125,test125@gmail.com,User 125,1528,0
bot126,bot126@outlook.com,User 126,2787,0
beta127,beta127@yahoo.com,User 127,2005,0
student128,student128@outlook.com,User 128,675,0
spammer129,spammer129@fake.org,User 129,330,1
normal130,normal130@example.com,User 130,1173,0
bot131,bot131@fake.org,User 131,666,1
student132,student132@tempmail.com,User 132,2062,1
user133,user133@example.com,User 133,2481,0
beta134,beta134@tempmail.com,User 134,2820,1
user135,user135@tempmail.com,User 135,1885,1
student136,student136@tempmail.com,User 136,433,1
bot137,bot137@tempmail.com,User 137,2879,1
spammer138,spammer138@spam.com,User 138,1706,1
normal139,normal139@yahoo.com,User 139,1918,0
alpha140,alpha140@yahoo.com,User 140,154,1
gamma141,gamma141@outlook.com,User 141,573,0
bot142,bot142@gmail.com,User 142,668,0
normal143,normal143@spam.com,User 143,491,1
spammer144,spammer144@tempmail.com,User 144,908,1
alpha145,alpha145@fraud.net,User 145,2019,1
user146,user146@fake.org,User 146,127,1
beta147,beta147@tempmail.com,User 147,708,1
spammer148,spammer148@outlook.com,User 148,1590,0
alpha149,alpha149@outlook.com,User 149,2108,0
alpha150,alpha150@gmail.com,User 150,2534,0
test151,test151@spam.com,User 151,1750,1
normal152,normal152@hotmail.com,User 152,1878,0
gamma153,gamma153@fake.org,User 153,1857,1
wissal154,wissal154@outlook.com,User 154,744,0
test155,test155@yahoo.com,User 155,616,0
bot156,bot156@gmail.com,User 156,141,1
bot157,bot157@example.com,User 157,1511,0
user158,user158@fraud.net,User 158,2714,1
test159,test159@hotmail.com,User 159,2193,0
bot160,bot160@fake.org,User 160,2050,1
normal161,normal161@tempmail.com,User 161,820,1
student162,student162@example.com,User 162,2490,0
beta163,beta163@hotmail.com,User 163,2541,0
bot164,bot164@hotmail.com,User 164,730,0
spammer165,spammer165@example.com,User 165,974,0
wissal166,wissal166@gmail.com,User 166,2947,0
test167,test167@fake.org,User 167,277,1
normal168,normal168@outlook.com,User 168,1674,0
test169,test169@outlook.com,User 169,1431,0
beta170,beta170@fraud.net,User 170,1517,1
user171,user171@hotmail.com,User 171,1670,0
beta172,beta172@gmail.com,User 172,1173,0
test173,test173@example.com,User 173,1580,0
bot174,bot174@tempmail.com,User 174,2507,1
alpha175,alpha175@example.com,User 175,118,1
wissal176,wissal176@yahoo.com,User 176,577,0
user177,user177@gmail.com,User 177,1048,0
user178,user178@outlook.com,User 178,1478,0
student179,student179@fake.org,User 179,1037,1
gamma180,gamma180@outlook.com,User 180,2118,0
bot181,bot181@outlook.com,User 181,868,0
beta182,beta182@outlook.com,User 182,2249,0
wissal183,wissal183@gmail.com,User 183,2672,0
test184,test184@outlook.com,User 184,2375,0
student185,student185@gmail.com,User 185,768,0
alpha186,alpha186@example.com,User 186,322,1
gamma187,gamma187@fake.org,User 187,683,1
normal188,normal188@hotmail.com,User 188,1868,0
test189,test189@gmail.com,User 189,2925,0
wissal190,wissal190@tempmail.com,User 190,609,1
user191,user191@tempmail.com,User 191,2118,1
test192,test192@fake.org,User 192,2456,1
bot193,bot193@hotmail.com,User 193,1240,0
alpha194,alpha194@yahoo.com,User 194,848,0
spammer195,spammer195@hotmail.com,User 195,1995,0
wissal196,wissal196@yahoo.com,User 196,877,0
normal197,normal197@yahoo.com,User 197,2704,0
beta198,beta198@yahoo.com,User 198,2211,0
beta199,beta199@hotmail.com,User 199,2359,0
student200,student200@gmail.com,User 200,2204,0
spammer201,spammer201@yahoo.com,User 201,2376,0
user202,user202@fake.org,User 202,2409,1
wissal203,wissal203@example.com,User 203,719,0
wissal204,wissal204@yahoo.com,User 204,2179,0
bot205,bot205@hotmail.com,User 205,702,0
wissal206,wissal206@hotmail.com,User 206,2748,0
wissal207,wissal207@tempmail.com,User 207,126,1
alpha208,alpha208@hotmail.com,User 208,264,1
test209,test209@fake.org,User 209,2365,1
beta210,beta210@gmail.com,User 210,1559,0
beta211,beta211@outlook.com,User 211,1874,0
user212,user212@example.com,User 212,524,0
bot213,bot213@tempmail.com,User 213,1227,1
student214,student214@yahoo.com,User 214,1168,0
wissal215,wissal215@example.com,User 215,896,0
beta216,beta216@gmail.com,User 216,2444,0
spammer217,spammer217@gmail.com,User 217,2141,0
gamma218,gamma218@spam.com,User 218,1289,1
normal219,normal219@hotmail.com,User 219,1736,0
student220,student220@example.com,User 220,919,0
test221,test221@yahoo.com,User 221,2310,0
normal222,normal222@gmail.com,User 222,1067,0
test223,test223@gmail.com,User 223,2989,0
alpha224,alpha224@hotmail.com,User 224,2403,0
wissal225,wissal225@gmail.com,User 225,782,0
alpha226,alpha226@outlook.com,User 226,767,0
spammer227,spammer227@example.com,User 227,1186,0
bot228,bot228@gmail.com,User 228,1274,0
spammer229,spammer229@spam.com,User 229,2935,1
normal230,normal230@hotmail.com,User 230,440,0
spammer231,spammer231@fraud.net,User 231,1125,1
wissal232,wissal232@example.com,User 232,2334,0
test233,test233@yahoo.com,User 233,378,1
beta234,beta234@fake.org,User 234,2521,1
beta235,beta235@example.com,User 235,1443,0
beta236,beta236@example.com,User 236,1955,0
student237,student237@outlook.com,User 237,1976,0
alpha238,alpha238@tempmail.com,User 238,351,1
student239,student239@hotmail.com,User 239,883,0
gamma240,gamma240@hotmail.com,User 240,2051,0
bot241,bot241@fake.org,User 241,2713,1
beta242,beta242@spam.com,User 242,1041,1
bot243,bot243@tempmail.com,User 243,2644,1
bot244,bot244@yahoo.com,User 244,993,0
gamma245,gamma245@tempmail.com,User 245,2232,1
user246,user246@fraud.net,User 246,1940,1
user247,user247@tempmail.com,User 247,2691,1
alpha248,alpha248@gmail.com,User 248,440,0
user249,user249@spam.com,User 249,828,1
student250,student250@yahoo.com,User 250,2945,0
alpha251,alpha251@fraud.net,User 251,680,1
user252,user252@hotmail.com,User 252,1606,0
gamma253,gamma253@example.com,User 253,2238,0
normal254,normal254@hotmail.com,User 254,2703,0
alpha255,alpha255@hotmail.com,User 255,1211,0
wissal256,wissal256@hotmail.com,User 256,1764,0
wissal257,wissal257@example.com,User 257,2755,0
test258,test258@fraud.net,User 258,2127,1
student259,student259@hotmail.com,User 259,1972,0
normal260,normal260@example.com,User 260,969,0
gamma261,gamma261@fake.org,User 261,900,1
alpha262,alpha262@outlook.com,User 262,1152,0
wissal263,wissal263@fake.org,User 263,1312,1
bot264,bot264@fraud.net,User 264,2685,1
beta265,beta265@hotmail.com,User 265,353,1
user266,user266@fraud.net,User 266,1502,1
test267,test267@example.com,User 267,1230,0
test268,test268@example.com,User 268,238,1
wissal269,wissal269@example.com,User 269,630,0
normal270,normal270@hotmail.com,User 270,2099,0
user271,user271@tempmail.com,User 271,486,1
normal272,normal272@fraud.net,User 272,857,1
bot273,bot273@yahoo.com,User 273,1495,0
wissal274,wissal274@spam.com,User 274,1197,1
spammer275,spammer275@gmail.com,User 275,2855,0
gamma276,gamma276@yahoo.com,User 276,680,0
bot277,bot277@fake.org,User 277,2857,1
normal278,normal278@fake.org,User 278,2536,1
student279,student279@example.com,User 279,589,0
wissal280,wissal280@fake.org,User 280,877,1
spammer281,spammer281@fake.org,User 281,1376,1
normal282,normal282@fraud.net,User 282,1021,1
user283,user283@outlook.com,User 283,2908,0
spammer284,spammer284@outlook.com,User 284,1174,0
bot285,bot285@gmail.com,User 285,2904,0
user286,user286@yahoo.com,User 286,181,1
user287,user287@gmail.com,User 287,1985,0
gamma288,gamma288@tempmail.com,User 288,750,1
beta289,beta289@yahoo.com,User 289,2314,0
gamma290,gamma290@fake.org,User 290,2399,1
beta291,beta291@fake.org,User 291,1473,1
student292,student292@fake.org,User 292,1739,1
wissal293,wissal293@hotmail.com,User 293,1725,0
bot294,bot294@yahoo.com,User 294,494,0
bot295,bot295@tempmail.com,User 295,1384,1
bot296,bot296@outlook.com,User 296,1224,0
user297,user297@example.com,User 297,1556,0
wissal298,wissal298@gmail.com,User 298,2258,0
spammer299,spammer299@example.com,User 299,800,0
student300,student300@fraud.net,User 300,2576,1
alpha301,alpha301@hotmail.com,User 301,2693,0
wissal302,wissal302@yahoo.com,User 302,2167,0
beta303,beta303@example.com,User 303,2366,0
beta304,beta304@hotmail.com,User 304,2625,0
user305,user305@hotmail.com,User 305,1984,0
test306,test306@yahoo.com,User 306,652,0
alpha307,alpha307@fake.org,User 307,1049,1
normal308,normal308@tempmail.com,User 308,823,1
bot309,bot309@spam.com,User 309,2917,1
bot310,bot310@fraud.net,User 310,1192,1
test311,test311@hotmail.com,User 311,2040,0
alpha312,alpha312@tempmail.com,User 312,2325,1
student313,student313@gmail.com,User 313,1324,0
wissal314,wissal314@outlook.com,User 314,1068,0
beta315,beta315@example.com,User 315,507,0
test316,test316@fraud.net,User 316,494,1
gamma317,gamma317@outlook.com,User 317,2429,0
user318,user318@gmail.com,User 318,631,0
alpha319,alpha319@example.com,User 319,1974,0
user320,user320@fake.org,User 320,462,1
test321,test321@hotmail.com,User 321,1489,0
user322,user322@outlook.com,User 322,632,0
normal323,normal323@yahoo.com,User 323,1921,0
beta324,beta324@gmail.com,User 324,874,0
student325,student325@gmail.com,User 325,2559,0
normal326,normal326@hotmail.com,User 326,2981,0
gamma327,gamma327@spam.com,User 327,876,1
normal328,normal328@gmail.com,User 328,2302,0
student329,student329@yahoo.com,User 329,797,0
gamma330,gamma330@example.com,User 330,2044,0
spammer331,spammer331@gmail.com,User 331,2115,0
normal332,normal332@fraud.net,User 332,2713,1
test333,test333@tempmail.com,User 333,1680,1
bot334,bot334@fake.org,User 334,2230,1
test335,test335@hotmail.com,User 335,340,1
normal336,normal336@yahoo.com,User 336,538,0
bot337,bot337@fake.org,User 337,412,1
spammer338,spammer338@example.com,User 338,2034,0
normal339,normal339@tempmail.com,User 339,1794,1
gamma340,gamma340@example.com,User 340,859,0
alpha341,alpha341@gmail.com,User 341,1701,0
normal342,normal342@example.com,User 342,1920,0
gamma343,gamma343@example.com,User 343,600,0
alpha344,alpha344@fake.org,User 344,787,1
alpha345,alpha345@yahoo.com,User 345,2958,0
student346,student346@tempmail.com,User 346,1338,1
alpha347,alpha347@example.com,User 347,2441,0
student348,student348@tempmail.com,User 348,891,1
beta349,beta349@yahoo.com,User 349,1254,0
bot350,bot350@outlook.com,User 350,2465,0
user351,user351@tempmail.com,User 351,146,1
bot352,bot352@gmail.com,User 352,1049,0
beta353,beta353@gmail.com,User 353,1681,0
beta354,beta354@yahoo.com,User 354,1489,0
test355,test355@example.com,User 355,1990,0
student356,student356@yahoo.com,User 356,1318,0
alpha357,alpha357@hotmail.com,User 357,1226,0
gamma358,gamma358@gmail.com,User 358,2063,0
alpha359,alpha359@fake.org,User 359,1773,1
test360,test360@fake.org,User 360,120,1
normal361,normal361@example.com,User 361,1690,0
beta362,beta362@example.com,User 362,2209,0
wissal363,wissal363@outlook.com,User 363,950,0
test364,test364@hotmail.com,User 364,1557,0
test365,test365@yahoo.com,User 365,680,0
bot366,bot366@hotmail.com,User 366,2645,0
gamma367,gamma367@hotmail.com,User 367,545,0
normal368,normal368@example.com,User 368,1403,0
gamma369,gamma369@outlook.com,User 369,660,0
bot370,bot370@fraud.net,User 370,1444,1
spammer371,spammer371@hotmail.com,User 371,1487,0
wissal372,wissal372@gmail.com,User 372,662,0
bot373,bot373@tempmail.com,User 373,2900,1
bot374,bot374@fake.org,User 374,496,1
user375,user375@hotmail.com,User 375,1649,0
user376,user376@outlook.com,User 376,1182,0
wissal377,wissal377@fake.org,User 377,636,1
wissal378,wissal378@fake.org,User 378,2321,1
beta379,beta379@outlook.com,User 379,1861,0
gamma380,gamma380@outlook.com,User 380,1915,0
gamma381,gamma381@example.com,User 381,1067,0
beta382,beta382@gmail.com,User 382,1231,0
bot383,bot383@gmail.com,User 383,1001,0
gamma384,gamma384@fake.org,User 384,1137,1
alpha385,alpha385@yahoo.com,User 385,896,0
beta386,beta386@gmail.com,User 386,1427,0
student387,student387@outlook.com,User 387,2603,0
test388,test388@yahoo.com,User 388,1237,0
user389,user389@yahoo.com,User 389,1960,0
gamma390,gamma390@outlook.com,User 390,1210,0
bot391,bot391@gmail.com,User 391,1859,0
bot392,bot392@yahoo.com,User 392,413,0
alpha393,alpha393@hotmail.com,User 393,2365,0
student394,student394@yahoo.com,User 394,2568,0
spammer395,spammer395@gmail.com,User 395,2178,0
beta396,beta396@yahoo.com,User 396,624,0
gamma397,gamma397@outlook.com,User 397,1617,0
spammer398,spammer398@outlook.com,User 398,1069,0
bot399,bot399@gmail.com,User 399,108,1
gamma400,gamma400@tempmail.com,User 400,2876,1
user401,user401@example.com,User 401,287,1
user402,user402@fake.org,User 402,2386,1
normal403,normal403@fraud.net,User 403,247,1
wissal404,wissal404@outlook.com,User 404,2130,0
gamma405,gamma405@example.com,User 405,1454,0
wissal406,wissal406@tempmail.com,User 406,2610,1
student407,student407@outlook.com,User 407,2634,0
user408,user408@gmail.com,User 408,418,0
wissal409,wissal409@hotmail.com,User 409,1647,0
wissal410,wissal410@gmail.com,User 410,2580,0
student411,student411@outlook.com,User 411,489,0
alpha412,alpha412@hotmail.com,User 412,1972,0
user413,user413@gmail.com,User 413,215,1
normal414,normal414@example.com,User 414,2422,0
student415,student415@fake.org,User 415,2765,1
wissal416,wissal416@example.com,User 416,1438,0
bot417,bot417@spam.com,User 417,304,1
test418,test418@example.com,User 418,1044,0
test419,test419@hotmail.com,User 419,1303,0
spammer420,spammer420@spam.com,User 420,240,1
wissal421,wissal421@gmail.com,User 421,2926,0
student422,student422@outlook.com,User 422,2617,0
alpha423,alpha423@spam.com,User 423,1685,1
alpha424,alpha424@yahoo.com,User 424,372,1
gamma425,gamma425@example.com,User 425,945,0
beta426,beta426@hotmail.com,User 426,322,1
test427,test427@spam.com,User 427,2695,1
student428,student428@example.com,User 428,2873,0
bot429,bot429@outlook.com,User 429,1208,0
beta430,beta430@hotmail.com,User 430,1513,0
user431,user431@hotmail.com,User 431,1644,0
beta432,beta432@example.com,User 432,1540,0
gamma433,gamma433@outlook.com,User 433,2137,0
test434,test434@hotmail.com,User 434,586,0
spammer435,spammer435@fraud.net,User 435,2471,1
spammer436,spammer436@fake.org,User 436,1910,1
student437,student437@gmail.com,User 437,2118,0
wissal438,wissal438@gmail.com,User 438,911,0
test439,test439@outlook.com,User 439,477,0
alpha440,alpha440@hotmail.com,User 440,2048,0
alpha441,alpha441@example.com,User 441,930,0
gamma442,gamma442@hotmail.com,User 442,888,0
gamma443,gamma443@hotmail.com,User 443,1098,0
normal444,normal444@spam.com,User 444,932,1
wissal445,wissal445@tempmail.com,User 445,2768,1
normal446,normal446@hotmail.com,User 446,2330,0
test447,test447@fake.org,User 447,967,1
bot448,bot448@hotmail.com,User 448,498,0
student449,student449@outlook.com,User 449,1603,0
spammer450,spammer450@example.com,User 450,411,0
wissal451,wissal451@example.com,User 451,2939,0
normal452,normal452@yahoo.com,User 452,2480,0
alpha453,alpha453@example.com,User 453,1790,0
beta454,beta454@outlook.com,User 454,2188,0
spammer455,spammer455@fake.org,User 455,2714,1
alpha456,alpha456@hotmail.com,User 456,2479,0
alpha457,alpha457@outlook.com,User 457,1798,0
student458,student458@tempmail.com,User 458,1222,1
test459,test459@gmail.com,User 459,1149,0
alpha460,alpha460@gmail.com,User 460,527,0
test461,test461@yahoo.com,User 461,726,0
gamma462,gamma462@hotmail.com,User 462,1174,0
bot463,bot463@hotmail.com,User 463,2919,0
user464,user464@outlook.com,User 464,2115,0
normal465,normal465@tempmail.com,User 465,1850,1
normal466,normal466@hotmail.com,User 466,180,1
student467,student467@yahoo.com,User 467,252,1
normal468,normal468@fraud.net,User 468,2362,1
wissal469,wissal469@gmail.com,User 469,852,0
user470,user470@outlook.com,User 470,1859,0
test471,test471@spam.com,User 471,1609,1
user472,user472@hotmail.com,User 472,1067,0
wissal473,wissal473@gmail.com,User 473,1446,0
alpha474,alpha474@spam.com,User 474,1493,1
beta475,beta475@hotmail.com,User 475,1327,0
normal476,normal476@gmail.com,User 476,2524,0
normal477,normal477@gmail.com,User 477,1684,0
normal478,normal478@hotmail.com,User 478,2751,0
beta479,beta479@tempmail.com,User 479,1883,1
wissal480,wissal480@example.com,User 480,1633,0
alpha481,alpha481@fake.org,User 481,902,1
test482,test482@hotmail.com,User 482,798,0
bot483,bot483@spam.com,User 483,708,1
alpha484,alpha484@outlook.com,User 484,1637,0
beta485,beta485@fraud.net,User 485,549,1
spammer486,spammer486@yahoo.com,User 486,757,0
student487,student487@yahoo.com,User 487,2688,0
user488,user488@outlook.com,User 488,123,1
alpha489,alpha489@example.com,User 489,1993,0
beta490,beta490@outlook.com,User 490,1561,0
student491,student491@tempmail.com,User 491,2358,1
test492,test492@gmail.com,User 492,1685,0
wissal493,wissal493@tempmail.com,User 493,1649,1
wissal494,wissal494@yahoo.com,User 494,973,0
bot495,bot495@tempmail.com,User 495,733,1
beta496,beta496@yahoo.com,User 496,210,1
alpha497,alpha497@fake.org,User 497,1517,1
alpha498,alpha498@fraud.net,User 498,1879,1
gamma499,gamma499@tempmail.com,User 499,1893,1
student500,student500@hotmail.com,User 500,617,0
alpha501,alpha501@tempmail.com,User 501,2194,1
beta502,beta502@tempmail.com,User 502,1642,1
student503,student503@yahoo.com,User 503,2448,0
alpha504,alpha504@tempmail.com,User 504,316,1
wissal505,wissal505@yahoo.com,User 505,877,0
bot506,bot506@hotmail.com,User 506,1863,0
beta507,beta507@gmail.com,User 507,1387,0
test508,test508@gmail.com,User 508,2273,0
alpha509,alpha509@example.com,User 509,1607,0
normal510,normal510@yahoo.com,User 510,1832,0
normal511,normal511@gmail.com,User 511,1506,0
beta512,beta512@gmail.com,User 512,2397,0
alpha513,alpha513@gmail.com,User 513,2874,0
bot514,bot514@spam.com,User 514,1587,1
student515,student515@tempmail.com,User 515,2657,1
test516,test516@fraud.net,User 516,766,1
test517,test517@hotmail.com,User 517,2362,0
wissal518,wissal518@outlook.com,User 518,584,0
student519,student519@yahoo.com,User 519,540,0
normal520,normal520@fraud.net,User 520,2042,1
normal521,normal521@hotmail.com,User 521,370,1
student522,student522@gmail.com,User 522,2728,0
bot523,bot523@example.com,User 523,1590,0
normal524,normal524@fraud.net,User 524,1589,1
wissal525,wissal525@fake.org,User 525,1676,1
user526,user526@example.com,User 526,2058,0
wissal527,wissal527@hotmail.com,User 527,2279,0
beta528,beta528@tempmail.com,User 528,2577,1
student529,student529@example.com,User 529,2196,0
wissal530,wissal530@example.com,User 530,1686,0
normal531,normal531@outlook.com,User 531,719,0
test532,test532@hotmail.com,User 532,569,0
bot533,bot533@tempmail.com,User 533,580,1
alpha534,alpha534@example.com,User 534,2072,0
beta535,beta535@tempmail.com,User 535,2148,1
normal536,normal536@yahoo.com,User 536,1659,0
test537,test537@yahoo.com,User 537,1074,0
user538,user538@example.com,User 538,1111,0
gamma539,gamma539@spam.com,User 539,1297,1
user540,user540@example.com,User 540,2597,0
alpha541,alpha541@fraud.net,User 541,2777,1
student542,student542@yahoo.com,User 542,1389,0
normal543,normal543@fake.org,User 543,2187,1
student544,student544@example.com,User 544,141,1
bot545,bot545@spam.com,User 545,250,1
test546,test546@fraud.net,User 546,2222,1
test547,test547@fraud.net,User 547,402,1
alpha548,alpha548@outlook.com,User 548,2802,0
beta549,beta549@gmail.com,User 549,2875,0
bot550,bot550@outlook.com,User 550,346,1
alpha551,alpha551@yahoo.com,User 551,2773,0
user552,user552@yahoo.com,User 552,384,1
spammer553,spammer553@gmail.com,User 553,2494,0
alpha554,alpha554@outlook.com,User 554,2353,0
wissal555,wissal555@yahoo.com,User 555,2667,0
test556,test556@gmail.com,User 556,2129,0
beta557,beta557@example.com,User 557,111,1
spammer558,spammer558@outlook.com,User 558,2935,0
alpha559,alpha559@hotmail.com,User 559,1066,0
wissal560,wissal560@yahoo.com,User 560,2198,0
beta561,beta561@hotmail.com,User 561,2010,0
gamma562,gamma562@yahoo.com,User 562,503,0
beta563,beta563@spam.com,User 563,1907,1
gamma564,gamma564@gmail.com,User 564,2050,0
user565,user565@hotmail.com,User 565,1153,0
wissal566,wissal566@tempmail.com,User 566,981,1
alpha567,alpha567@yahoo.com,User 567,860,0
normal568,normal568@spam.com,User 568,2870,1
test569,test569@fake.org,User 569,240,1
alpha570,alpha570@hotmail.com,User 570,1707,0
gamma571,gamma571@yahoo.com,User 571,841,0
normal572,normal572@fraud.net,User 572,400,1
spammer573,spammer573@yahoo.com,User 573,2358,0
alpha574,alpha574@outlook.com,User 574,2453,0
beta575,beta575@gmail.com,User 575,376,1
wissal576,wissal576@tempmail.com,User 576,2500,1
normal577,normal577@hotmail.com,User 577,1017,0
beta578,beta578@yahoo.com,User 578,1237,0
alpha579,alpha579@hotmail.com,User 579,2056,0
beta580,beta580@tempmail.com,User 580,2478,1
alpha581,alpha581@gmail.com,User 581,626,0
gamma582,gamma582@outlook.com,User 582,838,0
beta583,beta583@hotmail.com,User 583,1760,0
spammer584,spammer584@hotmail.com,User 584,1631,0
user585,user585@outlook.com,User 585,1614,0
beta586,beta586@yahoo.com,User 586,1416,0
bot587,bot587@fraud.net,User 587,2267,1
alpha588,alpha588@fraud.net,User 588,2177,1
student589,student589@example.com,User 589,1871,0
beta590,beta590@yahoo.com,User 590,1350,0
wissal591,wissal591@fraud.net,User 591,2326,1
normal592,normal592@spam.com,User 592,212,1
bot593,bot593@example.com,User 593,1015,0
wissal594,wissal594@example.com,User 594,2899,0
user595,user595@yahoo.com,User 595,1474,0
wissal596,wissal596@fake.org,User 596,1051,1
normal597,normal597@example.com,User 597,345,1
gamma598,gamma598@gmail.com,User 598,1449,0
test599,test599@outlook.com,User 599,2889,0
beta600,beta600@outlook.com,User 600,930,0
test601,test601@tempmail.com,User 601,200,1
student602,student602@yahoo.com,User 602,160,1
gamma603,gamma603@example.com,User 603,2011,0
user604,user604@yahoo.com,User 604,1127,0
bot605,bot605@example.com,User 605,2877,0
bot606,bot606@gmail.com,User 606,1047,0
test607,test607@gmail.com,User 607,2788,0
beta608,beta608@example.com,User 608,2291,0
user609,user609@hotmail.com,User 609,2698,0
user610,user610@example.com,User 610,2136,0
